ticker,name,year,esg,e,s,g,sector,industry
AMZN,AMAZON.COM,2020,86.63,29.92,47.94,87.7,Consumer Cyclical,Internet Retail
AMZN,AMAZON.COM,2021,79.45,35.26,48.14,93.99,Consumer Cyclical,Internet Retail
AMZN,AMAZON.COM,2022,78.61,46.19,50.81,79.2,Consumer Cyclical,Internet Retail
AMZN,AMAZON.COM,2023,81.74,49.14,55.83,88.71,Consumer Cyclical,Internet Retail
AMZN,AMAZON.COM,2024,72.46,47.74,53.91,71.72,Consumer Cyclical,Internet Retail
ANET,ARISTA NETWORKS,2020,33.43,93.37,82.22,70.21,Technology,Computer Hardware
ANET,ARISTA NETWORKS,2021,33.19,84.75,61.77,70.71,Technology,Computer Hardware
ANET,ARISTA NETWORKS,2022,32.95,89.29,67.48,72.41,Technology,Computer Hardware
ANET,ARISTA NETWORKS,2023,31.55,86.83,57.43,73.44,Technology,Computer Hardware
ANET,ARISTA NETWORKS,2024,26.16,89.37,56.44,68.25,Technology,Computer Hardware
AON,AON CLASS A,2020,63.36,70.98,78.34,77.79,Financial Services,Insurance Brokers
AON,AON CLASS A,2021,62.45,71.25,48.2,85.87,Financial Services,Insurance Brokers
AON,AON CLASS A,2022,68.96,68.31,46.19,78.06,Financial Services,Insurance Brokers
AON,AON CLASS A,2023,65.38,71.37,52.96,91.43,Financial Services,Insurance Brokers
AON,AON CLASS A,2024,67.91,91.76,62.76,80.39,Financial Services,Insurance Brokers
AOS,SMITH (AO),2020,70.23,47.92,90.0,40.44,Industrials,Specialty Industrial Machinery
AOS,SMITH (AO),2021,71.74,52.38,91.48,39.45,Industrials,Specialty Industrial Machinery
AOS,SMITH (AO),2022,78.24,66.35,93.28,49.15,Industrials,Specialty Industrial Machinery
AOS,SMITH (AO),2023,76.38,52.98,89.03,77.61,Industrials,Specialty Industrial Machinery
AOS,SMITH (AO),2024,72.21,48.06,89.68,91.72,Industrials,Specialty Industrial Machinery
APA,APA,2020,82.17,85.04,69.57,65.49,Energy,Oil & Gas E&P
APA,APA,2021,75.01,92.46,70.91,81.36,Energy,Oil & Gas E&P
APA,APA,2022,73.95,81.85,69.23,80.95,Energy,Oil & Gas E&P
APA,APA,2023,72.68,83.54,68.9,76.94,Energy,Oil & Gas E&P
APA,APA,2024,66.58,83.36,68.11,74.86,Energy,Oil & Gas E&P
APD,AIR PRDS.& CHEMS.,2020,83.76,50.0,80.26,40.95,Basic Materials,Specialty Chemicals
APD,AIR PRDS.& CHEMS.,2021,84.22,50.0,80.35,48.59,Basic Materials,Specialty Chemicals
